geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [-0.66667, 39]}",Quesa,Valid,,Fell,1898-01-01T00:00:00.000,"Iron, IAB-ung",39.000000,-0.666670,22360,10750,
"{'type': 'Point', 'coordinates': [126.13333, 44.61667]}",Quija,Valid,,Fell,1990-01-01T00:00:00.000,H,44.616670,126.133330,22361,17450,
"{'type': 'Point', 'coordinates': [0.25, 46.6]}",Quincay,Valid,,Fell,1851-01-01T00:00:00.000,L6,46.600000,0.250000,22363,65,
"{'type': 'Point', 'coordinates': [-65.45, -26.66667]}",Raco,Valid,,Fell,1957-01-01T00:00:00.000,H5,-26.666670,-65.450000,22368,5000,
"{'type': 'Point', 'coordinates': [76.465, 27.72528]}",Raghunathpura,Valid,,Fell,1986-01-01T00:00:00.000,"Iron, IIAB",27.725280,76.465000,22371,10200,
"{'type': 'Point', 'coordinates': [70.2, 28.225]}",Rahimyar Khan,Valid,,Fell,1983-01-01T00:00:00.000,L5,28.225000,70.200000,31302,67225,
"{'type': 'Point', 'coordinates': [37.03333, 52.98333]}",Rakovka,Valid,,Fell,1878-01-01T00:00:00.000,L6,52.983330,37.033330,22376,9000,
"{'type': 'Point', 'coordinates': [82.9, 26.45]}",Ramnagar,Valid,,Fell,1940-01-01T00:00:00.000,L6,26.450000,82.900000,22384,3766,
"{'type': 'Point', 'coordinates': [87.76667, 24.16667]}",Rampurhat,Valid,,Fell,1916-01-01T00:00:00.000,LL,24.166670,87.766670,22385,100,
"{'type': 'Point', 'coordinates': [6.93333, 51.88333]}",Ramsdorf,Valid,,Fell,1958-01-01T00:00:00.000,L6,51.883330,6.933330,22386,4682,
"{'type': 'Point', 'coordinates': [87.08333, 23.98333]}",Ranchapur,Valid,,Fell,1917-01-01T00:00:00.000,H4,23.983330,87.083330,22387,290.39999999999998,
"{'type': 'Point', 'coordinates': [-100.81667, 19.86667]}",Rancho de la Presa,Valid,,Fell,1899-01-01T00:00:00.000,H5,19.866670,-100.816670,22390,300,
"{'type': 'Point', 'coordinates': [72.01667, 25.38333]}",Rangala,Valid,,Fell,1937-01-01T00:00:00.000,L6,25.383330,72.016670,22392,3224.5,
"{'type': 'Point', 'coordinates': [115.7, 38.2]}",Raoyang,Valid,,Fell,1919-01-01T00:00:00.000,L6,38.200000,115.700000,22394,4910,
"{'type': 'Point', 'coordinates': [50.15, 26.66667]}",Ras Tanura,Valid,,Fell,1961-01-01T00:00:00.000,H6,26.666670,50.150000,22395,6.1,
"{'type': 'Point', 'coordinates': [26.53333, 43.5]}",Rasgrad,Valid,,Fell,1740-01-01T00:00:00.000,Stone-uncl,43.500000,26.533330,22396,24700,
"{'type': 'Point', 'coordinates': [17.98333, 52.2]}",Ratyn,Valid,,Fell,1880-01-01T00:00:00.000,Stone-uncl,52.200000,17.983330,22398,910,
